"gene","community"
"NEK2","M1"
"KIF2C","M1"
"HORMAD1","M1"
"CENPF","M1"
"BUB1B","M1"
"ASPM","M1"
"TOP2A","M1"
"DLGAP5","M1"
"MELK","M1"
"TPX2","M1"
"CDCA8","M1"
"CCNB2","M1"
"CCNA2","M1"
"EXO1","M1"
"CDCA5","M1"
"CCNB1","M1"
"KIF11","M1"
"PBK","M1"
"KIF4A","M1"
"FOXM1","M1"
"CDK1","M1"
"KIF14","M1"
"BIRC5","M1"
"PLK1","M1"
"MAD2L1","M1"
"HJURP","M1"
"RAD51","M1"
"KIF20A","M1"
"NUF2","M1"
"CDC45","M1"
"PRC1","M1"
"ZWINT","M1"
"TTK","M1"
"HMMR","M1"
"HORMAD2","M1"
"CEP55","M1"
"CDCA3","M1"
"SKA1","M1"
"ANLN","M1"
"NUSAP1","M1"
"TK1","M1"
"AURKA","M1"
"CDC20","M1"
"BUB1","M1"
"UBE2C","M1"
"KIF23","M1"
"NCAPG","M1"
"AURKB","M1"
"CDC25A","M1"
"GINS2","M1"
"CCNE1","M1"
"CDKN2A","M1"
"CDC25C","M1"
"ESPL1","M1"
"ATAD2","M1"
"MCM10","M1"
"ORC1","M1"
"E2F7","M1"
"E2F8","M1"
"GINS1","M1"
"RRM2","M1"
"ORC6","M1"
"CCNE2","M1"
"CLSPN","M1"
"DTL","M1"
"TICRR","M1"
"E2F1","M1"
"CDT1","M1"
"CENPU","M1"
"CENPA","M1"
"KIF15","M1"
"SPC24","M1"
"CENPI","M1"
"CENPE","M1"
"KNL1","M1"
"OIP5","M1"
"PCLAF","M1"
"CDC6","M1"
"SPAG5","M1"
"MKI67","M1"
"NCAPH","M1"
"UBE2S","M1"
"ASF1B","M1"
"ECT2","M1"
"NDC80","M1"
"MYBL2","M1"
"DEPDC1","M1"
"TACC3","M1"
"RACGAP1","M1"
"CDKN3","M1"
"SGO1","M1"
"FAM83D","M1"
"PTTG1","M1"
"KIFC1","M1"
"CKS2","M1"
"AUNIP","M1"
"EZH2","M1"
"TRIP13","M1"
"TYMS","M1"
"RAD51AP1","M1"
"DEPDC1B","M1"
"UBE2T","M1"
"MND1","M1"
"SKA3","M1"
"SPC25","M1"
"CENPM","M1"
"SHCBP1","M1"
"RAD54L","M1"
"EME1","M1"
"RMI2","M1"
"ERCC6L","M1"
"KIF18B","M1"
"CDCA2","M1"
"SMC1B","M1"
"MTFR2","M1"
"CKAP2L","M1"
"GTSE1","M1"
"CDC20B","M1"
"KPNA2","M1"
"PIMREG","M1"
"ARHGAP11A","M1"
"KIF18A","M1"
"ESCO2","M1"
"TROAP","M1"
"FANCI","M1"
"STIL","M1"
"DIAPH3","M1"
"LMNB1","M1"
"H3C13","M1"
"CDKN1C","M1"
"H3C12","M1"
"PKMYT1","M1"
"FBXO43","M1"
"IQGAP3","M1"
"RAD21L1","M1"
"BLM","M1"
"KIF25","M1"
"CIT","M1"
"UHRF1","M1"
"SLC30A8","M1"
"E2F2","M1"
"NEIL3","M1"
"CBX2","M1"
"POLQ","M1"
"EBF1","M1"
"SOX17","M1"
"RECQL4","M1"
"POC1A","M1"
"LEF1","M1"
"BRIP1","M1"
"CCDC69","M1"
"KLHL13","M1"
"BRSK2","M1"
"SPDYC","M1"
"DDIAS","M1"
"AK5","M1"
"CELF3","M1"
"WDR62","M1"
"CNTD2","M1"
"USP44","M1"
"CCNO","M1"
"KIF1A","M1"
"ASCL2","M1"
"MRAS","M1"
"CSF3","M2"
"IL6","M2"
"FGF2","M2"
"NTF4","M2"
"EFNA2","M2"
"FGF5","M2"
"ANGPT1","M2"
"GDNF","M2"
"NTSR1","M2"
"NTRK2","M2"
"FGF1","M2"
"FGF17","M2"
"VEGFD","M2"
"CEACAM5","M2"
"SAA1","M2"
"HPR","M2"
"SAA2","M2"
"APOB","M2"
"EPHA8","M2"
"KIT","M2"
"EGFR","M2"
"NGFR","M2"
"PTGS2","M2"
"KL","M2"
"GAD1","M2"
"ALB","M2"
"CALB2","M2"
"GFAP","M2"
"TH","M2"
"NRG1","M2"
"MUC1","M2"
"PVALB","M2"
"CD209","M2"
